video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
me9tHunSGcM,"Talesu - Yoruba Movie 2024 Drama Bimpe Adedimeji, Lateef Adedimeji, Aishat Lawal, Mr Macaroni, Ijebu","The saying 'A bad wife is worse than poverty, and he that has a good wife is rich' comes to play in the life of  two men who find themselves ensnared in marriages tainted by the malevolent forces within. As they confront the devil that resides within their own hearts and homes, they must navigate the treacherous waters of love, betrayal, and their own inner demons to discover who truly is the Devil.  Find out more.

Please SUBSCRIBE to Yorubaplus Today by clicking on the Subscribe Button and don't forget to activate the Bell notification button to get notified of our latest yoruba movies release updates.

SUBSCRIBE : www.youtube.com/yorubaplus


https://www.youtube.com/yorubaplus

Follow us on IG.Twitter and FB: @Yorubaplus",2024-07-31T09:30:28Z,UCeAH89bVuCLxp7MPOBZFZNQ,Yorubaplus,24,"['latest yoruba movies 2023 new release', 'latest yoruba movies this week', 'yoruba movies 2023 this week new release', 'new yoruba movies 2023 latest this week', 'yoruba movies', 'yoruba movies 2023 new release', 'yoruba comedy movies 2023', 'yoruba latest movies 2023']",PT1H29M4S,hd,false,551415,6118,0,0,446
tpIyMNGK07g,HIGHLIGHTS | REAL MADRID 1 vs 2 FC BARCELONA | USA TOUR 2024,"Pau Víctor scores either side of half time before Real Madrid pull one back late on.

SUBSCRIBE NOW:
▶ www.youtube.com/user/fcbarcelona 

📱 App: http://barca.link/kXum50R6rNO
⚽ Barça One: http://barca.link/I32O50QVbj2
🌐 Site: www.fcbarcelona.com

📸 Instagram: http://www.instagram.com/fcbarcelona
𝕏 Twitter: http://twitter.com/FCBarcelona
🎶 Tiktok: https://www.tiktok.com/@fcbarcelona 
🔵 Facebook: http://www.facebook.com/fcbarcelona
👾 Discord: https://discord.gg/fcbarcelonaofficial

🛍 Get all official Barça apparel from FC Barcelona's online store: http://barca.link/j8QH30qQh4Y 
🔵🔴 #FCBarcelona",2024-08-04T02:17:44Z,UC14UlmYlSNiQCBe9Eookf_A,FC Barcelona,17,"['FC Barcelona', 'برشلونة،', 'Fútbol', 'FUTBOL', 'soccer', 'FUTEBOL', 'Sepakbola', 'サッカー', 'كرة القدم', 'football', 'FCB', 'Barça', 'Sport', 'Club', 'ter stegen', 'goat', 'yt:cc=on', 'pedri', 'de Jong', 'lewandowski', 'spotify', 'kounde', 'Joao Felix', 'Joao Cancelo', 'Gavi', 'Marcos Alonso', 'Lamine Yamal', 'Balde', 'Lewy', 'Lewandowski', 'Marc Guiu', 'Pau Cubarsí', 'CAMP NOU', 'Messi', 'Barcelona', 'Ronald', 'Araujo', 'Christensen', 'Fermín', 'Ferran Torres', 'Gündogan', 'Sergi Roberto', 'La Liga', 'Frenkie', 'Héctor Fort', '1-2', 'Highlights', 'Real Madrid', 'El Clasico', 'USA', 'Tour', ""2'24"", 'Pau Victor']",PT3M19S,hd,false,5302862,128720,0,0,4378
xu6C10_Donc,"THE GATE KEEPER - EDDIE WATSON, EMMANUELLA ILOBA 2024 LATEST NIGERIAN MOVIES","2023 EXCLUSIVE NOLLYWOOD MOVIES

Watch Best Of Nigerian Nollywood Movies
Featuring all trending actors and blockbuster movies
Bringing you the latest Nigerian movies

#nigerianmovies #nollywoodmovies #africanmovies #fullnigerianmovies",2024-07-29T13:00:08Z,UC8PRpA2SqheLnKRaUCILusA,LARRYGEE FILMS TV,24,[],PT2H11M16S,hd,false,984932,9902,0,0,705
aGSQR64qCWQ,美味しい食べ物のASMR _ ASMR FOOD 🍜🍝🍜🥓🥢🍗#asmr #美味しい食べ物#食べ物#vlog,"Hello everyone! This is ASMR FOOD🌸
🍜Update the daily life of gluttonous couples fighting wits and courage
🍤Share and share delicious and cost-effective food
Take you to eat delicious food all over the world
hope it brings you joy
Don't forget to click to subscribe~
みなさんこんにちは、ASMRFOOD です🌸
🍜知恵と勇気を競う大食いカップルの日常を更新
🍤美味しくてコスト効率の高い食べ物をシェアして共有しましょう
世界中の美味しいものを食べに連れて行きます
それがあなたに喜びをもたらすことを願っています
忘れずにクリックして購読してください~
#asmrfood #asmrcake #asmrvideo #asmrdessert #asmrmochi",2024-07-31T04:00:01Z,UCE6dS5o_2zxZgwfCwvvg2tQ,ASMR FOOD,22,"['#Couple', '#Funny', '#Spicy', '#asmrfood', '#asmrcake', '#asmrvideo', '#asmrdessert', '#asmrmochi', '#asmrcrepecake', '#asmrchocolate', '#asmreating', '#asmreatingsound', '#mukbangvideo', '#mukbangfood', '#mukbanglover', '#mukbangeating', '#mukbangeatingsound', '#mukbangdessert', '#eatingasmr', '#eatingfood', '#eatingsound', '#minyoonmin', '#variousdessert', '#eatingshow', '#큰한입고기먹방']",PT58S,hd,true,15211039,315729,0,0,702
PD3apY--uHY,HIGHLIGHTS: Liverpool 3-0 Manchester United | Sell-out crowd for USA Tour win,"Watch all of the action from the University of South Carolina, where goals from Fabio Carvalho, Curtis Jones and Kostas Tsimikas gave Arne Slot's Reds a victory to ensure their pre-season tour 2024 ended with three wins out of three. 

This video is available with subtitles in English, Dutch, Spanish, Portuguese, French, Turkish, Greek, Korean, Arabic, Japanese and Indonesian.

📺 How to watch Liverpool FC this pre-season.
👉 Watch every game live on LFCTV GO, and get your first month free: https://lfc.tv/4bzvYuU
Available worldwide.
👉 Every game is available live with an Anfield Tier YouTube Channel Membership:  https://www.youtube.com/LiverpoolFC/join
Available worldwide, except for the UK & Ireland.
👉 Watch with YouTube Pay-Per-View: https://www.youtube.com/@LiverpoolFC/streams
Available in USA, Canada, Brazil, Italy, Germany, France, Japan, South Korea & Mexico
 
🔔 SUBSCRIBE for free, so you never miss a video or live stream! https://www.youtube.com/subscription_center?add_user=LiverpoolFC
🛍️ Shop LFC Get your new kit and much more! https://lfc.tv/48oB63n
Liverpool FC - YouTube
Get closer to the Reds than anyone else!Well, you're in the right place with new and exclusive uploads bringing you closer to the Reds, every week.",2024-08-04T08:45:01Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,"['Liverpool FC', 'LFC', 'Liverpool', 'Anfield', 'Liverpool Football Club', 'premier league', 'Klopp', 'slott', 'arne slott', 'alisson', 'trent alexander-arnold', 'virgil van dijk', 'van dijk', 'salah', 'mo salah', 'endo', 'wataru endo', 'luis diaz', 'darwin', 'darwin nunez', 'alexis mac allister', 'mac allister']",PT2M15S,hd,true,2066814,35234,0,0,1639
PHWhaszmcXc,Man City 4-2 Chelsea | HIGHLIGHTS | Chelsea FC USA Tour 2024,"Highlights of Chelsea's 4-2 defeat against Manchester City in the fourth pre-season match of their 2024 USA Tour at the Ohio Stadium in Columbus. Goals from Raheem Sterling and Noni Madueke.

Subscribe to our channel here: 
https://www.youtube.com/chelseafc?sub_confirmation=1

#Chelsea #ChelseaFC #Football #Soccer #bluesintheusa #chelseahighlights #mancityvschelsea  #mancity #manchestercity 

---
RECOMMENDED PLAYLISTS:

USA Tour 2024:
https://www.youtube.com/playlist?list=PLx6bGx4zt6EmLV-AJ5d6tpWkb7ql4Z8YB

Men's Training | 2024/25:
https://www.youtube.com/playlist?list=PLx6bGx4zt6EltzuxVp96mzcf9NXdJiYuL

Chelsea New Signings | 2024/25:
https://www.youtube.com/playlist?list=PLx6bGx4zt6ElZ3iy0uq9I7OerS1lvv-Xm

Enzo Maresca | 2024/25:
https://www.youtube.com/playlist?list=PLx6bGx4zt6ElIXL1XhFvy9EBo73jtjupy
---
Download Chelsea FC's official mobile app for EXCLUSIVE content: 
http://che.lc/5thstand

For all the latest updates, team news and launches, visit:
http://che.lc/YTwebsite

---
ABOUT CHELSEA FOOTBALL CLUB 

Founded in 1905, Chelsea Football Club is an English professional football club based in Fulham, West London with Stamford Bridge as the home of the club. Competing in the Premier League - the top division of English football, the club has had many successes, winning five Premier League titles. The club won their first major honour, the League championship in 1955, followed by the FA Cup in 1970, their first European honour, the Cup Winners' Cup in 1971, and became the third English club to win the Club World Cup in 2022. 

As the Pride of London, Chelsea FC is one of the most success clubs in terms of overall trophies won. They are the only club to have won all three major European competitions twice and have taken the crown domestically, winning six league titles, eight FA Cups, five League Cups, and four FA Community Shields. Internationally, Chelsea have won the UEFA Champions League, the UEFA Europa League, the UEFA Cup Winners' Cup and the UEFA Super Cup twice each, and the FIFA Club World Cup once since their inception.

The Chelsea YouTube channel provides access to all the build-up, training and behind-the-scenes moments and matchday action along with all the unseen edits and player focus from Reece James, Cole Palmer and Enzo Fernandez to Sam Kerr, Lauren James and many more. It’s the only channel where you’ll get an authentic look at this great club including memorable nights with world-class heroes such as Peter Osgood, Gianfranco Zola, Frank Lampard, John Terry, Didier Drogba & Eden Hazard.",2024-08-04T00:20:48Z,UCU2PacFf99vhb3hNiYDmxww,Chelsea Football Club,17,"['chelsea', 'chelsea fc', 'fc chelsea', 'cfc', 'chelsea football club', 'football', 'soccer', 'sport', 'chelsea tv', '첼시', 'челси', 'chelsea fc usa tour', 'chelsea usa tour', 'usa tour 2024', 'sua tour 2024 chelsea', 'chelsea vs man city', 'manchester city vs chelsea', 'ohio stadium', 'Usa pre season', 'chelsea pre season', 'chelsea pre season tour', 'raheem sterling goal', 'sterling goal vs man city', 'noni madueke goal', 'noni madueke goal vs man city']",PT4M18S,hd,false,1251911,14424,0,0,1898
SqMR1Ku-NH8,Crazy weight loss transformation !! 😱😱,"Clique ici pour t'abonner ► http://bit.ly/1qAbjhL & rejoins la TeamShape !
Mes compléments Inshape Nutrition ►https://bit.ly/2M9v9QV
Mon application de sport ShapeYou ►https://shapeyou.fr

Mes programmes sportifs ►https://bit.ly/2TDimHN

Ecris-moi sur : 
TWITTER : http://bit.ly/1o88uUV
INSTAGRAM : http://bit.ly/1Q4RInr (tiboinshape)
SNAPCHAT : tiboinshape
TIKTOK : tiboinshape
FACEBOOK : http://on.fb.me/1EcbKme
SPOTIFY : Tibo InShape - Motivation (playlist)
TWITCH : TiboInshapeLive

Cadrage : Tone Shoot 
Montage : Clémence Durand
Miniature : Julien Egea

Mon adresse postale : 
""Tibo Inshape
CS 52072
81012 ALBI CEDEX""

Mon e-mail (business uniquement) ► tiboinshapevideo@gmail.com

Si vous lisez cette phrase écrivez « DAAMN » en commentaire !",2024-07-29T16:18:11Z,UCpWaR3gNAQGsX48cIlQC0qw,Tibo InShape,24,"['tibo inshape', 'teamshape']",PT27S,hd,false,9010224,412186,0,0,3647
1qaKPXiRLt4,Fast and Furious: New Zealand 🚗,"Buy Rexy Clothing ➤ https://rexyclothing.com

Business Inquiries ➤ howridiculous@delkatalents.com

Media/Licensing Enquiries ➤ https://howridiculous.org

Memberships ➤  Get bonus YouTube videos, Q&A livestreams, merch discount codes + more! http://bit.ly/HRmemberships

Follow us:
Instagram ➤ https://www.instagram.com/howridiculous
Facebook ➤ https://www.facebook.com/howridiculous
TikTok     ➤ https://www.TikTok.com/@howridiculous
Twitter     ➤ https://www.twitter.com/howridiculous
Discord   ➤ https://discord.gg/MWmqCEvjeJ

We are passionate about seeing children released from poverty and we would love you to consider sponsoring a child with Compassion: http://cmpsn.co/howridiculous",2024-07-25T03:01:02Z,UC5f5IV0Bf79YLp_p9nfInRA,How Ridiculous,17,"['how ridiculous', 'rexy', '44club']",PT29S,hd,false,44755342,615020,0,0,2444
HZrvjxpSZnQ,#shorts,,2024-07-28T02:40:13Z,UCwJHI-W_dZIrZNKrgqkJgsA,卓越电影,1,[],PT1M,hd,false,4448984,332355,0,0,101
rChLaLZd3Mo,Shenseea - Work Me Out (feat. Wizkid) (Official Music Video),"Stream ""Never Gets Late Here"" here: https://Shenseea.lnk.to/NeverGetsLateHere
 
Don't forget to subscribe for more music!
Follow Shenseea
▶ TikTok: https://www.tiktok.com/@shenseea?lang=en
▶ Twitter: https://twitter.com/SHENYENG
▶ Facebook: https://www.facebook.com/ShenseeaOfficial
▶ Instagram: https://www.instagram.com/shenseea
 
Credits:
DIRECTED BY
Adindu Collins & This Was Needed
 
PRODUCTION COMPANY
Creativs Label Ltd
 
EXECUTIVE PRODUCER
Tony Longe
Nadya Persaud
 
PRODUCER
Isabella Culver
 
PRODUCTION MANAGER
Jordan Rowley
 
DOP
Miguel Carmenes
 
1ST ASSISTANT DIRECTOR
Michael Baugh
 
PRODUCTION DESIGNER
Furmaan Ahmed
 
CAST STYLIST
Pili Mateos
 
CHOREOGRAPHER         
Kash Powell
 
EDITOR        
Leon Carlton
 
COLOURIST
Ben Aitar
 
VFX
Asad Naveed
 
VFX BEAUTY WORK        
Arrad
 
SHENSEEA STYLIST        
Leah Abbott
Anneka Kumar
 
NAIL TECH
Natasha Blake
 
LEAH’S STYLING ASSISTANT
Lia Lowry
 
SHENSEEA MUA
Marshayan Suban
 
SHENSEEA HAIR
Felicia Annang
 
WIZKID STYLIST
T Dosumu
 
ARTIST MANAGEMENT (SHENSEEA)
Camille Delaney        
Anneka Kumar                                
Amanda Lopez
 
ARTIST MANAGEMENT (WIZKID)
Jada Pollock 
Chin M
 
STEADICAM OP
Michael Vega
 
FOCUS PULLER
Harry Coleman
                   
2ND AC        
Felix Wildey          
           
CAMERA ASSISTANT
Gordon Eddie        
 
GAFFER
Robbie Smith
 
SPARK
Lewis Nichols                   
Conrad Russell                    
Mike P        
 
RIGGER
Ian Thompson
 
2ND ASSISTANT DIRECTOR
Max Elliot
 
ART DIRECTOR
Isabella Furness           
         
SET DRESSER
Marta Stok        
Flint Mcdonald                 
Ali Velmi                              
Ollie Goldman
 
CAST HMUA
Maisie B        
                   
CAST HMUA ASSISTANT
Zoey Edwards                    
Lauryn Brown
        
STYLIST ASSISTANT
Rafaella Giraldo      
Art Lauren
 
RUNNER DRIVER
Samuel Jackson        
Sam Herbaut
                          
RUNNER
Khalil Vaughan 
 
SPECIAL THANKS TO
Tanks Studios
Mcx Films
Mbs Equipment 
Ed Smith
 
#Shenseea #Wizkid #WorkMeOut #NGLH

Music video by Shenseea, Wizkid performing Work Me Out. © 2024 Rich Immigrants/Interscope Records

http://vevo.ly/mxRXFf",2024-07-31T04:00:07Z,UC3Ffys8TNCgwg_I4KYIsuIw,SHENSEEAVEVO,10,"['Shenseea', 'Wizkid', 'Rich Immigrants/Interscope Records', 'Reggae']",PT2M44S,hd,false,1808662,77414,0,0,5180
HlLoqJolJuQ,Do You Prefer Street Food or Fine Dining? #shorts,"#film  #movie  #shorts  

Movie Name:Hunger (2023)

Director
Sitisiri Mongkolsiri
Writer
Kongdej Jaturanrasamee
Stars
Nopachai Chaiyanam,Chutimon Chuengcharoensukying,Emilio Ferreira

(Film clip narration content, no bad orientation, please do not imitate)",2024-08-03T13:03:06Z,UC82BJTKEvcNMfij2RH6FtZg,Maroon Recap,1,"['shorts', 'SHORTS', 'Hunger']",PT1M,hd,false,2426447,154276,0,0,191
GcA6UZdvgEc,Looks so cool!,,2024-07-30T14:18:24Z,UCb9A6uotqUiuVCvVp4GMqOg,Justin Flom,24,[],PT59S,hd,false,7973154,258181,0,0,633
xD8XlHz_YVc,Wonderful handmade secret agent hack for potential detectives🔍#shorts #diy #hacks #hair #spytricks,"She created a fingerprint to spy on her partner!
#shorts #diy #hacks #hair #spytricks
▶️ TheSoul Music: https://www.music.thesoul-publishing.com
◉ Our Spotify: https://sptfy.com/TheSoulMusic
◉ TikTok: https://www.tiktok.com/@thesoul.music
◉ YouTube: / @thesoulsound
Music by Epidemic Sound: https://www.epidemicsound.com/
Stock materials: https://www.depositphotos.com https://www.shutterstock.com
This video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses. It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate.

The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate.

All product and company names shown in the video are trademarks™️ or registered®️ trademarks of their respective holders. Use of them does not imply any affiliation with or endorsement by them.",2024-07-30T22:00:43Z,UCcVlJCxIqvZowxxzxY2QXEA,Recap Mood,26,"['123 go', '5mc', 'addams', 'amazon', 'automatic', 'bites', 'candy', 'challenge', 'cool', 'cool tool', 'do it yourself', 'doll', 'emotional story', 'from nerd to popular', 'funny situations', 'gadgets', 'gotcha', 'hacks', 'how to', 'kitty', 'kittybites', 'life hacks', 'magic', 'makeover', 'makeup asmr', 'makeup tutorial', 'pets', 'pikachu', 'pink', 'pranks', 'room makeover', 'teeens', 'tips', 'tools', 'trick', 'tricks', 'troom troom', 'tutorial', 'useful things', 'viral', 'wednesday', 'woohoo']",PT58S,hd,false,862934,15723,0,0,161
rPkvQCvCDKU,Replacing a valve on a full water tank! 🫣💦  -  🎥 the_ladyplumber,#UNILAD,2024-07-25T15:00:55Z,UCnQWRzqPuCpOw0aJ4HwQjIQ,UNILAD,24,"['unilad', 'ladbible', 'original', 'viral', 'funny', 'Water tank', 'water', 'valve', 'satisfying', 'satisfy', 'process', 'asmr', 'fail', 'skill', 'talent', 'plumbing', 'plumber']",PT16S,hd,false,40616871,512781,0,0,2253
85B_DpmMunk,Omemma  | Chandler Moore | Live In Los Angeles (Official Music Video),"Official Music Video for ""Omemma"" By: Chandler Moore

""Omemma"" was written by: Chandler Moore and Tim Godfrey

Stream "" Omemma "" today!

LYRICS

VERSE 
I know He loves me
I know He cares
Whenever I call
He always is right there

When I’m in trouble
He is my help
I know no fear
I know He’ll be right there

CHORUS
AYYYY
He really does what He says He will do
My God really moves

AYYYY
WHY WOULD I DOUBT WHEN HE ALWAYS COME THRU
MY GOD REALLY MOVES

TAG
Oh

VAMP
OMEMMA
Always on time
You can’t do no wrong
OMEMMA
Leave the ninety nine
Always for the one

#newmusic  #chandlermoore  #worshipmusic",2024-08-02T17:00:06Z,UCZ4trZcPxr3DwcMbFb54rDQ,TRIBL,10,"['Worship', 'Live Worship', 'Spontaneous worship', 'Tribl Music', 'Omemma', 'chandler moore', 'chandler', 'moore', 'new', '2024', 'live in los angeles', 'new album', 'new mav city', 'LA', 'live', 'in', 'los angeles', 'maverick city music', 'maverick', 'city', 'music', 'mav']",PT11M27S,hd,false,419381,32200,0,0,3022
